task_id,size,category,device,latency_ms,cpu_latency_ms,speedup_vs_cpu
1,64x64,small,CPU,0.1623,0.1623,1.0
2,64x64,small,CPU,0.1704,0.1704,1.0
3,64x64,small,CPU,0.1628,0.1628,1.0
4,64x64,small,CPU,0.166,0.166,1.0
5,64x64,small,CPU,0.1694,0.1694,1.0
6,64x64,small,CPU,0.163,0.163,1.0
7,64x64,small,CPU,0.1737,0.1737,1.0
8,64x64,small,CPU,0.1629,0.1629,1.0
9,64x64,small,CPU,0.1628,0.1628,1.0
10,64x64,small,CPU,0.1636,0.1636,1.0
11,1024x1024,large,GPU(sim),1.139,430.0304,377.55
12,1024x1024,large,GPU(sim),1.2905,477.7001,370.17
13,1024x1024,large,GPU(sim),1.2874,433.644,336.84
14,1024x1024,large,GPU(sim),1.1385,395.907,347.74
15,1024x1024,large,GPU(sim),1.0527,400.6216,380.57
16,1024x1024,large,GPU(sim),1.1986,431.7423,360.2
17,1024x1024,large,GPU(sim),1.2166,397.746,326.92
18,1024x1024,large,GPU(sim),1.2905,376.8448,292.01
19,1024x1024,large,GPU(sim),1.02,395.8994,388.14
20,1024x1024,large,GPU(sim),1.1122,395.124,355.26
